cohort,curvature_gradient_mean_abs,curvature_proxy_mean,data_seed,example_id,hops,intervention,optimization_seed,spectral_effective_rank,spectral_entropy,spectral_gap,tokens
train_id,0.005788740236312151,-0.12207327038049698,16301,train_hop_1_payload_transport:ergt43_pair_293350015_cf1,1,full,12011,1.0,1.1064242936149578e-15,2.0,51
train_id,0.006001872476190329,-0.13186495006084442,16301,train_hop_1_payload_transport:ergt43_pair_293350015_cf0,1,full,12011,1.0,0.0,2.0,51
train_id,0.00484964344650507,-0.1542685180902481,16301,train_hop_1_memory_source_condition:ergt43_pair_313530011_cf0,1,full,12011,1.0,0.0,2.0,51
train_id,0.005704673007130623,-0.1575789451599121,16301,train_hop_1_boundary_deficit:ergt43_pair_283260008_cf0,1,full,12011,1.0,1.1064242936149578e-15,2.0,51
train_id,0.005535751581192017,-0.16102202236652374,16301,train_hop_1_geodesic_action:ergt43_pair_263080022_cf0,1,full,12011,1.0,0.0,2.0,51
train_id,0.00492603424936533,-0.10528793185949326,16301,train_hop_1_boundary_deficit:ergt43_pair_283260010_cf0,1,full,12011,1.0,0.0,2.0,51
train_id,0.00542689161375165,-0.11767248809337616,16301,train_hop_1_geodesic_action:ergt43_pair_263080014_cf0,1,full,12011,1.0,0.0,2.0,51
train_id,0.004935526754707098,-0.12524844706058502,16301,train_hop_1_terminal_mass:ergt43_pair_303440011_cf0,1,full,12011,1.0,1.1064242936149578e-15,2.0,51
train_id,0.006997378077358007,-0.1719917505979538,16301,train_hop_1_combined_long_horizon:ergt43_pair_323620003_cf0,1,full,12011,1.0,0.0,2.0,51
train_id,0.005317753180861473,-0.1782398223876953,16301,train_hop_1_memory_source_condition:ergt43_pair_313530000_cf1,1,full,12011,1.0,0.0,2.0,51
train_id,0.005286380648612976,-0.23143357038497925,16301,train_hop_1_combined_long_horizon:ergt43_pair_323620014_cf1,1,full,12011,1.0,0.0,2.0,51
train_id,0.004146679304540157,-0.1262201964855194,16301,train_hop_1_boundary_deficit:ergt43_pair_283260023_cf1,1,full,12011,1.0,0.0,2.0,51
train_id,0.00411771796643734,-0.12271624058485031,16301,train_hop_1_finite_speed_cone:ergt43_pair_273170011_cf1,1,full,12011,1.0,0.0,2.0,51
train_id,0.005343539174646139,-0.1755392700433731,16301,train_hop_1_combined_long_horizon:ergt43_pair_323620017_cf1,1,full,12011,1.0,3.6396154475405295e-15,2.0,51
train_id,0.00584430294111371,-0.10770248621702194,16301,train_hop_1_terminal_mass:ergt43_pair_303440011_cf1,1,full,12011,1.0,0.0,2.0,51
