accuracy_hop_12,accuracy_hop_16,accuracy_hop_24,accuracy_hop_32,accuracy_hop_4,accuracy_hop_8,data_seed,model,optimization_seed,pair_exact_hop_12,pair_exact_hop_16,pair_exact_hop_24,pair_exact_hop_32,pair_exact_hop_4,pair_exact_hop_8
1.0,1.0,0.9107142857142857,0.7857142857142857,1.0,1.0,16301,ERGT Geometric Model,12011,1.0,1.0,0.8214285714285714,0.7142857142857143,1.0,1.0
0.5,0.5178571428571429,0.5,0.48214285714285715,0.44642857142857145,0.3392857142857143,16301,Direct Transformer Baseline,12011,0.0,0.03571428571428571,0.0,0.0,0.0,0.0
1.0,1.0,0.9107142857142857,0.7857142857142857,1.0,1.0,mean,ERGT Geometric Model,mean,,,,,,
0.5,0.5178571428571429,0.5,0.48214285714285715,0.44642857142857145,0.3392857142857143,mean,Direct Transformer Baseline,mean,,,,,,
